Year,Level 0,Level 1,Level 2,Level 3,Level 4,Current Metric,Value
2024,Total Revenue,,,,,Cost of Revenue,607915000000.0
2024,Total Revenue,,,,,Gross Profit,333253000000.0
2024,Total Revenue,Gross Profit,,,,Operating Income,123871000000.0
2024,Total Revenue,Gross Profit,Operating Income,,,EBIT,123871000000.0
2024,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,172103000000.0
2024,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,80009000000.0
2024,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,101596000000.0
2024,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,22529000000.0
2024,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,209382000000.0
2024,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2024,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,48232000000.0
2024,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",41985000000.0
2024,Total Revenue,Gross Profit,,,,Research and Development,52256000000.0
2024,Total Revenue,,,,,Non-Interest Income,
2024,Total Revenue,,,,,Other Non-Operating Income,
2024,Total Revenue,,,,,Investment Income Net,
2024,Total Revenue,,,,,Net Interest Income,-17911000000.0
2024,Total Revenue,Net Interest Income,,,,Interest Income,
2024,Total Revenue,Net Interest Income,,,,Interest Expense,7947000000.0
2024,Gross Profit,,,,,Operating Income,123871000000.0
2024,Gross Profit,Operating Income,,,,EBIT,123871000000.0
2024,Gross Profit,Operating Income,EBIT,,,EBITDA,172103000000.0
2024,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,80009000000.0
2024,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,71332000000.0
2024,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2024,Gross Profit,Operating Income,EBIT,,,Income Before Tax,101596000000.0
2024,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,22529000000.0
2024,Gross Profit,Operating Income,,,,Operating Expenses,209382000000.0
