Fiscal Date Ending,Reported Currency,Gross Profit,Total Revenue,Cost of Revenue,Cost of Goods and Services Sold,Operating Income,"Selling, General and Administrative",Research and Development,Operating Expenses,Investment Income Net,Net Interest Income,Interest Income,Interest Expense,Non-Interest Income,Other Non-Operating Income,Depreciation,Depreciation and Amortization,Income Before Tax,Income Tax Expense,Interest and Debt Expense,Net Income from Continuing Operations,Comprehensive Income Net of Tax,EBIT,EBITDA,Net Income
2024-03-31,CNY,333253000000,941168000000,607915000000,607915000000,123871000000,41985000000,52256000000,209382000000,,-17911000000.0,,7947000000,,,,48232000000,101596000000,22529000000,,71332000000.0,,123871000000,172103000000,80009000000
2023-03-31,CNY,318992000000,868687000000,549695000000,549695000000,100351000000,42183000000,56744000000,215927000000,,-16989000000.0,5918000000.0,16989000000,,,,38158000000,89185000000,15549000000,,65573000000.0,,84234000000,122392000000,72783000000
2022-03-31,CNY,313612000000,853062000000,539450000000,539450000000,105302000000,31922000000,55465000000,218833000000,,-20611000000.0,30496000000.0,20611000000,,,,45727000000,59550000000,26815000000,,47079000000.0,,71222000000,116949000000,62249000000
2021-03-31,CNY,296084000000,717289000000,421205000000,421205000000,170054000000,55224000000,57236000000,206406000000,,68318000000.0,72794000000.0,4476000000,,,,47070000000,165578000000,29278000000,,143284000000.0,,135411000000,182481000000,150578000000
2020-03-31,CNY,227344000000,509711000000,282367000000,282367000000,172401000000,28197000000,43080000000,135338000000,,67776000000.0,72956000000.0,5180000000,,,,13388000000,166645000000,20562000000,,140350000000.0,,172401000000,185789000000,149433000000
2019-03-31,CNY,169915000000,376844000000,206929000000,206929000000,57084000000,24889000000,37435000000,112831000000,,38916000000.0,44106000000.0,5190000000,,0.0,,10727000000,96221000000,16553000000,,80234000000.0,,101411000000,112138000000,87886000000
2018-03-31,CNY,143222000000,250266000000,107044000000,107044000000,69314000000,16241000000,22754000000,73414000000,,26929000000.0,30495000000.0,3566000000,,0.0,,7120000000,100403000000,18199000000,,61412000000.0,,104463000000,111583000000,64093000000
2017-03-31,CNY,98790000000,158273000000,59483000000,59483000000,48055000000,12239000000,17060000000,50284000000,,5888000000.0,8559000000.0,2671000000,,0.0,,14292000000,60029000000,13776000000,,41226000000.0,,60636000000,74928000000,43675000000
2016-03-31,CNY,66788000000,101143000000,34355000000,34355000000,29102000000,9205000000,13788000000,37231000000,,,51210000000.0,1946000000,,0.0,,2931000000,81468000000,8449000000,,3694.8,,83869000000,86800000000,71460000000
2015-03-31,CNY,52370000000,76204000000,23834000000,23834000000,23135000000,7800000000,10658000000,29060000000,,,,2750000000,,0.0,,2089000000,32326000000,6416000000,,3922897007.82,,35251000000,37340000000,24261000000
2014-03-31,CNY,39135000000,52504000000,13369000000,13369000000,24920000000,4218000000,5093000000,13919000000,,,,2195000000,,,,1654000000,26802000000,3196000000,,23403000000.0,,29041000000,30695000000,23315000000
2013-03-31,CNY,24798000000,34517000000,9719000000,9719000000,10751000000,2889000000,3753000000,13484000000,,,,1572000000,,,,935000000,10112000000,1457000000,,,,11859000000,12794000000,8532000000
2012-03-31,CNY,13471000000,20025000000,6554000000,6554000000,5015000000,2211000000,2897000000,8121000000,,,,68000000,,,,870000000,5532000000,842000000,,,,5735000000,6605000000,4228000000
2011-03-31,CNY,4626570000,5557586000,931016000,931016000,1536538000,568324000,580173000,3090032000,,,,176398000,,,,226910000,1706457000,236445000,,,,1536538000,1763448000,1469464000
2010-03-31,CNY,3340290000,3874728000,534438000,534438000,1072970000,409708000,384333000,2267320000,,,,140941000,,,,126582000,1176419000,163393000,,,,1072970000,1199552000,1013026000
