Fiscal Date Ending,Reported Currency,Gross Profit,Total Revenue,Cost of Revenue,Cost of Goods and Services Sold,Operating Income,"Selling, General and Administrative",Research and Development,Operating Expenses,Investment Income Net,Net Interest Income,Interest Income,Interest Expense,Non-Interest Income,Other Non-Operating Income,Depreciation,Depreciation and Amortization,Income Before Tax,Income Tax Expense,Interest and Debt Expense,Net Income from Continuing Operations,Comprehensive Income Net of Tax,EBIT,EBITDA,Net Income
2023-12-31,USD,7279000000,10112000000,2833000000,2843000000,1941000000,3413000000,1544000000,5338000000,204000000.0,-263000000.0,204000000.0,263000000.0,10125000000.0,,,403000000,3699000000,932000000,263000000.0,2775000000,2693000000,3962000000,4365000000,2767000000
2022-12-31,USD,7115000000,9795000000,2680000000,2680000000,2350000000,3099000000,1330000000,4765000000,73000000.0,-235000000.0,73000000.0,235000000.0,8983000000.0,,,442000000,-1596000000,-327000000,235000000.0,-1274000000,-1408000000,-1361000000,-919000000,-1269000000
2021-12-31,USD,7770000000,10420000000,2650000000,2650000000,2923000000,3091000000,1325000000,4847000000,19000000.0,-269000000.0,19000000.0,269000000.0,10502000000.0,,,502000000,13754000000,146000000,279000000.0,252000000,13390000000,14023000000,14525000000,13608000000
2020-12-31,USD,7097000000,8894000000,1797000000,2473000000,2636000000,3642000000,1028000000,4461000000,39000000.0,-305000000.0,-1000000.0,304000000.0,10271000000.0,-32000000.0,,583000000,6525000000,858000000,305000000.0,2487000000,5899000000,6829000000,7412000000,5667000000
2019-12-31,USD,5844000000,7429000000,1585000000,2433000000,1770000000,4383000000,930000000,4074000000,120000000.0,-311000000.0,120000000.0,311000000.0,10748000000.0,-1000000.0,,600000000,2005000000,219000000,311000000.0,1433000000,1672000000,2316000000,2916000000,1786000000
2018-12-31,USD,6627000000,8650000000,2023000000,2382000000,1752000000,4522000000,1051000000,4875000000,176000000.0,-326000000.0,176000000.0,326000000.0,10433000000.0,-16000000.0,,635000000,2651000000,121000000,326000000.0,2128000000,2311000000,2977000000,3612000000,2530000000
2017-12-31,USD,7706000000,9927000000,2221000000,2222000000,2264000000,3546000000,1224000000,5442000000,177000000.0,-292000000.0,177000000.0,292000000.0,167000000.0,11000000.0,,676000000,2271000000,3288000000,292000000.0,-1013000000,-176000000,2563000000,3239000000,-1017000000
2016-12-31,USD,7294000000,9298000000,2004000000,2007000000,2325000000,3268000000,1114000000,4969000000,125000000.0,-225000000.0,125000000.0,225000000.0,1343000000.0,83000000.0,,682000000,3632000000,-3634000000,225000000.0,7285000000,6616000000,3857000000,4539000000,7266000000
2015-12-31,USD,6821000000,8592000000,1771000000,1771000000,2197000000,3389000000,923000000,4624000000,97000000.0,-144000000.0,220000000.0,144000000.0,268000000.0,-12000000.0,,687000000,2184000000,459000000,144000000.0,1947000000,1092000000,2328000000,3015000000,1725000000
2014-12-31,USD,7127000000,17902000000,1663000000,5732000000,2476000000,5430000000,983000000,4651000000,133000000.0,-123000000.0,-14000000.0,109000000.0,0.0,-10000000.0,,682000000,3426000000,3380000000,123000000.0,-865000000,61000000,3535000000,4217000000,46000000
2013-12-31,USD,6765000000,16047000000,1492000000,5036000000,2454000000,4763000000,915000000,4311000000,111000000.0,-100000000.0,-5000000.0,95000000.0,150000000.0,28000000.0,,660000000,3360000000,504000000,100000000.0,2067000000,3156000000,3455000000,4115000000,2856000000
2012-12-31,USD,9856000000,14072000000,4216000000,4216000000,2888000000,4480000000,1573000000,6968000000,134000000.0,-64000000.0,-1000000.0,63000000.0,118000000.0,196000000.0,,1200000000,3084000000,475000000,64000000.0,2609000000,2916000000,3147000000,4347000000,2609000000
2011-12-31,USD,8191000000,11652000000,3461000000,3460184000,2373000000,3799269000,1235000000,5818000000,111000000.0,-5500000.0,19500000.0,25000000.0,-257000000.0,1537000000.0,,940000000,3910000000,681000000,5500000.0,3229387000,3028000000,3935000000,4875000000,3229000000
2010-12-31,USD,6592000000,9156000000,2564000000,2564667000,2054000000,3026198000,908000000,4538000000,22800000.0,,,44876000.0,,44876000.0,508400000.0,762000000,2098000000,297000000,,1800961000,1733000000,2054000000,2816000000,1801000000
2009-12-31,USD,6247600000,8727362000,2479762000,2479762000,1456766000,3304066000,803070000,4790834000,,,,,,,473400000.0,810946000,2879151000,490054000,,2416512000,2303716000,1456766000,2267712000,2389097000
