Fiscal Date Ending,Reported Currency,Gross Profit,Total Revenue,Cost of Revenue,Cost of Goods and Services Sold,Operating Income,"Selling, General and Administrative",Research and Development,Operating Expenses,Investment Income Net,Net Interest Income,Interest Income,Interest Expense,Non-Interest Income,Other Non-Operating Income,Depreciation,Depreciation and Amortization,Income Before Tax,Income Tax Expense,Interest and Debt Expense,Net Income from Continuing Operations,Comprehensive Income Net of Tax,EBIT,EBITDA,Net Income
2023-12-31,USD,3515000000,7060000000,3545000000,3545000000,88595479,491000000,1730000000,3593000000,,241000000.0,241000000.0,,,,,71283717,185000000,53000000.0,,132000000.0,,-159283717,-88000000,132000000
2022-12-31,USD,2754119000,5599864000,2845745000,2845745000,-822299000,707765000,1503234000,3576418000,,75642000.0,2800549000.0,1150000.0,,,,86933354,-3622848000,-162430000.0,,-3460418000.0,,-818712354,-731779000,-3460418000
2021-12-31,USD,2481144000,4611856000,2130712000,2130712000,268643000,374844000,854383000,2212501000,,11863000.0,15356000.0,1150000.0,,,,65724556,3140592000,225933000.0,,2914659000.0,,269226444,334951000,2914659000
2020-12-31,USD,1541520000,2929491000,1387971000,1387971000,90153000,245343000,552127000,1451367000,,14349000.0,23434000.0,8575000.0,,,,73761035,240364000,-79145000.0,,319509000.0,,86451965,160213000,319509000
2019-12-31,USD,865643000,1578173000,712530000,712530000,-141147000,178934000,355015000,1006790000,,48182000.0,48182000.0,45332000.0,,,,36479831,-95815000,29027000.0,,-124842000.0,,-141975831,-105496000,-124842000
2018-12-31,USD,596267000,1073229000,476962000,476962000,-91920000,107444000,230674000,688187000,,29436000.0,29436000.0,0.0,,,,25666730,-64553000,27367000.0,,-64553000.0,,-88465730,-62799000,-64553000
2017-12-31,USD,380253000,673304000,293051000,293051000,-49157000,67719000,135997000,429410000,,7850000.0,7850000.0,0.0,,,,24222892,-39995000,-840892.0,,-39995000.0,,-49997892,-25775000,-39995000
2016-12-31,USD,209495000,389330000,179835000,179835000,-37165000,43110000,74336000,246660000,,1536000.0,1536000.0,0.0,,,,13799026,-35355000,167974.0,,-35355000.0,,-36997026,-23198000,-35355000
2015-12-31,USD,111071000,205233000,94162000,94162000,-17756000,18731000,39722000,128827000,,,1034000.0,0.0,,,,7236000,-18790000,-974429.25,,-18790000.0,,-17756000,-10520000,-18790000
2014-12-31,USD,61795000,105018000,43223000,43223000,-21615000,11566000,25915000,83410000,,,,0.0,,,,4672000,-22311000,696000.0,,-22311000.0,,-20862000,-16190000,-22311000
2013-12-31,USD,36739000,50252000,13513000,13513000,-4269000,3975000,13682000,41008000,,,,0.0,,,,1758000,-4837000,568000.0,,-4837000.0,,-3659000,-1901000,-4837000
2012-12-31,USD,18937000,23713000,4776000,4776000,-1514000,1737000,6452000,20451000,,,,0.0,,,,767000,-1232000,-282000.0,,,,-1746000,-979000,-1232000
